naam;kvk;rechtsvorm;straat;huisnummer;huisnummertoevoeging;postcode;woonplaatsnaam;landnaam;zaanvadresinfo;locatienaam;lomschrijving;vestigingsnummer;lstraat;lhuisnummer;lhuisnummertoevoeging;lpostcode;lwoonplaatsnaam;llandnaam;laanvadresinfo;iswzdacco;iswvggzaco;iswzdamb;isawvggzmb;aantekeningingang;aantekeningeinde;isbopz;zvvochtvoedingmedicatie;zvbeperkenbewegingsvrijheid;zvinsluiten;zvtoezicht;zvonderzoekkledinglichaam;zvonderzoekwoonruimte;zvcontrolerenmiddelen;zvbeperkeneigenleven;zvbeperkenbezoek;zvtijdelijkverblijf
Academisch Medisch Centrum;34362777;publiekrechtelijkeRechtspersoon;Meibergdreef;9;;1105 AZ;Amsterdam;Nederland;;AMC;;22829768;Meibergdreef;9;;1105 AZ;Amsterdam;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Academisch Medisch Centrum;34362777;publiekrechtelijkeRechtspersoon;Meibergdreef;9;;1105 AZ;Amsterdam;Nederland;;AMC;;;Meibergdreef;5;;1105 AZ;Amsterdam;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Academisch Ziekenhuis Groningen;1169570;publiekrechtelijkeRechtspersoon;Hanzeplein;1;;9713 GZ;Groningen;Nederland;;Academisch Ziekenhuis Groningen;;12915866;Hanzeplein;1;;9713 GZ;Groningen;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Academisch Ziekenhuis Groningen;14124959;publiekrechtelijkeRechtspersoon;P Debyelaan;25;;6229 HX;Maastricht;Nederland;;Academisch Ziekenhuis Maastricht;;20636660;P. Debyelaan;25;;6229 HX;Maastricht;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Academisch Ziekenhuis Groningen;22063723;beslotenVennootschap;'s-Gravenpolderseweg;114;;4462 RA;Goes;Nederland;;Ziekenhuis Walcheren;;37098713;Koudekerkseweg;88;;4382 EE;Vlissingen;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Academisch Ziekenhuis Groningen;24376932;beslotenVennootschap;Prins Constantijnweg;48;;3066 TA;Rotterdam;Nederland;;Bouwmankliniek;;;Prins Constantijnweg;131;;3066 TA;Rotterdam;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;De Haer;3;;8431 GS;Oosterwolde;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;De Haer;5;;8431 GS;Oosterwolde;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;Trimbeets;39;;8431 XD;Gorredijk;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;Trimbeets;41;;8431 XD;Gorredijk;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;Trimbeets;43;;8431 XD;Gorredijk;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;De Aak;11;;8446 ET;Heerenveen;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;De Reling;8;;8447 EE;Heerenveen;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;De Brogge;6;;8472 AG;Wolvega;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;De Brogge;8;;8472 AG;Wolvega;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;De Brogge;10;;8472 AG;Wolvega;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant, Martenahiem;;;Jan Vlietstrastraat;4;;8804 TG;Franeker;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant, Swettehiem;;;Pieter Sipmawei;290;;8915 EH;Leeuwarden;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;MFC Grou;;;Gruttostraat;29;;9001 ES;Grou;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;MFC Grou;;;Gruttostraat;31;;9001 ES;Grou;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;Hege Hearewei;1;a;9051 AA;Stiens;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;Hegebuorren;9;;9051 AD;Stiens;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;Hegebuorren;11;;9051 AD;Stiens;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant, kleinschalig wonen, onderdeel van Petterhusterstate;;;Petterhusterdyk;6;b;9051 CZ;Stiens;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant, wonen en dagbesteding;;;Ieleane;10;;9051 LP;Stiens;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;Venusskulp;21;;9051 MD;Stiens;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;Venusskulp;23;;9051 MD;Stiens;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;t Skûtsje;52;;9051 PR;Stiens;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;t Skûtsje;52;a;9051 PR;Stiens;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;Nieuwe Hale;51;;9104 DS;Damwoude;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;Thiedemaweg;3;;9104 HT;Damwoude;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;Ringweg;7;a;9201 GT;Drachten;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;Ringweg;7;b;9201 GT;Drachten;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;Ringweg;7;c;9201 GT;Drachten;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;Ringweg;7;d;9201 GT;Drachten;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;Ame;26;;9204 EW;Drachten;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;Ame;28;;9204 EW;Drachten;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant, wonen en dagbesteding;;;De Lanen;71;;9204 WB;Drachten;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;Grasland;37;;9205 ES;Drachten;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;Grasland;39;;9205 ES;Drachten;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;Grasland;41;;9205 ES;Drachten;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;Grasland;43;;9205 ES;Drachten;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;Akkerland;16;;9205 GB;Drachten;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;Akkerland;18;;9205 GB;Drachten;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;Akkerland;20;;9205 GB;Drachten;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;Akkerland;22;;9205 GB;Drachten;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;Eabekamp;5;;9212 RK;Boornbergum;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;Eabekamp;7;;9212 RK;Boornbergum;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;Eabekamp;9;;9212 RK;Boornbergum;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;Eabekamp;11;;9212 RK;Boornbergum;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;De Wissel;1;;9244 EW;Beetsterzwaag;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant, 't Ulenest;;;Weibuorren;4;;9247 BB;Ureterp;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant, Lijtehiem, Talantgedeelte in verpleeghuis Lijtehiem Boekweitpaed;;;Boekweitpaed;51;;9247 BR;Ureterp;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant, Lijtehiem, Talantgedeelte in verpleeghuis Lijtehiem Boekweitpaed;;;Boekweitpaed;53;;9247 BR;Ureterp;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant, Lijtehiem, Talantgedeelte in verpleeghuis Lijtehiem Boekweitpaed;;;Boekweitpaed;55;;9247 BR;Ureterp;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant, De Knippehoeve;;;Selmien;40;;9247 TR;Ureterp;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;J.D. de Vriesstraat;4;a;9251 CK;Burgum;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;J.D. de Vriesstraat;4;b;9251 CK;Burgum;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;Freerk Bosgraafstraat;25;;9251 CT;Burgum;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;Noordermeer;7;;9251 LS;Burgum;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant, Meckamastate, Talantgedeelte in verzorgingshuis Meckamastate;;;Tjerk Hiddesstraat;42;;9291 AM;Kollum;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;Eskesstraat;22;;9291 GX;Kollum;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;Van Bootsmalaan;2;b;9291 HJ;Kollum;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;Hammeren;6;;9291 PB;Kollum;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;Hammeren;8;;9291 PB;Kollum;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;Hammeren;31;;9291 PC;Kollum;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Antes Holding B.V.;24376932;beslotenVennootschap;Prins Constantijnweg;48;;3066 TA;Rotterdam;Nederland;;locatie Maasstadweg;;;Maasstadweg;96;;3079 DZ;Rotterdam;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Antes Holding B.V.;24376932;beslotenVennootschap;Prins Constantijnweg;48;;3066 TA;Rotterdam;Nederland;;kliniek Albrandswaardsedijk;;;Albrandswaardsedijk;74;;3172 AA;Poortugaal;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Antes Holding B.V.;24376932;beslotenVennootschap;Prins Constantijnweg;48;;3066 TA;Rotterdam;Nederland;;Kliniek langdurige zorg;;;Hoeklaan;82;;3201 JE;Spijkenisse;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Antes Holding B.V.;24376932;beslotenVennootschap;Prins Constantijnweg;48;;3066 TA;Rotterdam;Nederland;;Kliniek langdurige zorg;;;Hoeklaan;84;;3201 JE;Spijkenisse;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Bavo-Europoort BV;27321703;beslotenVennootschap;Prins Constantijnweg;48;;3066 TA;Rotterdam;Nederland;;Locatie Capelle, Volwassenzorg;;;Poortmolen;121;;2906 RN;Capelle Aan De Ijssel;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Bavo-Europoort BV;27321703;beslotenVennootschap;Prins Constantijnweg;48;;3066 TA;Rotterdam;Nederland;;Ouderen Binnenweg;;;Nieuwe Binnenweg;35;;3014 GD;Rotterdam;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Bavo-Europoort BV;27321703;beslotenVennootschap;Prins Constantijnweg;48;;3066 TA;Rotterdam;Nederland;;locatie F. Leharstraat;;;F. Leharstraat;141;;3069 MN;Rotterdam;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Catharina Stichting;24319534;stichting;Slagveld;37;;3230 AD;Brielle;Nederland;;De Watergeus (Catharina Gasthuis);;;Slagveld;37;;3231 AP;Brielle;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Catharina Stichting;24319534;stichting;Slagveld;37;;3230 AD;Brielle;Nederland;;Pension 't Hart;;;Patrijzenlaan;170;;3233 BR;Oostvoorne;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Catharina Stichting;24319534;stichting;Slagveld;37;;3230 AD;Brielle;Nederland;;Pension 't Hart;;;Patrijzenlaan;172;;3233 BR;Oostvoorne;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Catharina Stichting;24319534;stichting;Slagveld;37;;3230 AD;Brielle;Nederland;;Pension 't Hart;;;Patrijzenlaan;174;;3233 BR;Oostvoorne;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Catharina Stichting;24319534;stichting;Slagveld;37;;3230 AD;Brielle;Nederland;;Pension 't Hart;;;Patrijzenlaan;176;;3233 BR;Oostvoorne;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Catharina Stichting;24319534;stichting;Slagveld;37;;3230 AD;Brielle;Nederland;;Pension 't Hart;;;Patrijzenlaan;178;;3233 BR;Oostvoorne;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Catharina Stichting;24319534;stichting;Slagveld;37;;3230 AD;Brielle;Nederland;;Pension 't Hart;;;Patrijzenlaan;180;;3233 BR;Oostvoorne;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Catharina Stichting;24319534;stichting;Slagveld;37;;3230 AD;Brielle;Nederland;;Pension 't Hart;;;Patrijzenlaan;182;;3233 BR;Oostvoorne;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Catharina Stichting;24319534;stichting;Slagveld;37;;3230 AD;Brielle;Nederland;;Pension 't Hart;;;Patrijzenlaan;184;;3233 BR;Oostvoorne;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Catharina Stichting;24319534;stichting;Slagveld;37;;3230 AD;Brielle;Nederland;;Pension 't Hart;;;Patrijzenlaan;186;;3233 BR;Oostvoorne;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Catharina Stichting;24319534;stichting;Slagveld;37;;3230 AD;Brielle;Nederland;;Pension 't Hart;;;Patrijzenlaan;188;;3233 BR;Oostvoorne;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Catharina Stichting;24319534;stichting;Slagveld;37;;3230 AD;Brielle;Nederland;;Pension 't Hart;;;Patrijzenlaan;190;;3233 BR;Oostvoorne;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Catharina Stichting;24319534;stichting;Slagveld;37;;3230 AD;Brielle;Nederland;;De Bollaarshoeve;;;Bollaarsdijk;1;;3233 LB;Oostvoorne;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Catharina Stichting;24319534;stichting;Slagveld;37;;3230 AD;Brielle;Nederland;;De Duinpan;;;Briggemandreef;24;;3235 DZ;Rockanje;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Catharina Stichting;24319534;stichting;Slagveld;37;;3230 AD;Brielle;Nederland;;De Duinpan;;;Briggemandreef;26;;3235 DZ;Rockanje;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Catharina Stichting;24319534;stichting;Slagveld;37;;3230 AD;Brielle;Nederland;;De Duinpan;;;Briggemandreef;28;;3235 DZ;Rockanje;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Catharina Stichting;24319534;stichting;Slagveld;37;;3230 AD;Brielle;Nederland;;De Duinpan;;;Briggemandreef;30;;3235 DZ;Rockanje;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Catharina Stichting;24319534;stichting;Slagveld;37;;3230 AD;Brielle;Nederland;;De Duinpan;;;Briggemandreef;32;;3235 DZ;Rockanje;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Catharina Stichting;24319534;stichting;Slagveld;37;;3230 AD;Brielle;Nederland;;De Duinpan;;;Briggemandreef;34;;3235 DZ;Rockanje;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Catharina Stichting;24319534;stichting;Slagveld;37;;3230 AD;Brielle;Nederland;;De Duinpan;;;Briggemandreef;36;;3235 DZ;Rockanje;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Catharina Stichting;24319534;stichting;Slagveld;37;;3230 AD;Brielle;Nederland;;De Duinpan;;;Briggemandreef;38;;3235 DZ;Rockanje;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Catharina Stichting;24319534;stichting;Slagveld;37;;3230 AD;Brielle;Nederland;;De Duinpan;;;Briggemandreef;40;;3235 DZ;Rockanje;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Catharina Stichting;24319534;stichting;Slagveld;37;;3230 AD;Brielle;Nederland;;De Duinpan;;;Briggemandreef;42;;3235 DZ;Rockanje;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Catharina Stichting;24319534;stichting;Slagveld;37;;3230 AD;Brielle;Nederland;;De Duinpan;;;Briggemandreef;44;;3235 DZ;Rockanje;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Catharina Stichting;24319534;stichting;Slagveld;37;;3230 AD;Brielle;Nederland;;De Duinpan;;;Briggemandreef;46;;3235 DZ;Rockanje;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Catharina Stichting;24319534;stichting;Slagveld;37;;3230 AD;Brielle;Nederland;;De Duinpan;;;Briggemandreef;48;;3235 DZ;Rockanje;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Catharina Stichting;24319534;stichting;Slagveld;37;;3230 AD;Brielle;Nederland;;De Duinpan;;;Briggemandreef;50;;3235 DZ;Rockanje;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Catharina Stichting;24319534;stichting;Slagveld;37;;3230 AD;Brielle;Nederland;;De Duinpan;;;Briggemandreef;52;;3235 DZ;Rockanje;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Catharina Stichting;24319534;stichting;Slagveld;37;;3230 AD;Brielle;Nederland;;De Duinpan;;;Briggemandreef;54;;3235 DZ;Rockanje;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Catharina Stichting;24319534;stichting;Slagveld;37;;3230 AD;Brielle;Nederland;;De Duinpan;;;Briggemandreef;56;;3235 DZ;Rockanje;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Catharina Stichting;24319534;stichting;Slagveld;37;;3230 AD;Brielle;Nederland;;De Duinpan;;;Briggemandreef;58;;3235 DZ;Rockanje;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Catharina Stichting;24319534;stichting;Slagveld;37;;3230 AD;Brielle;Nederland;;De Duinpan;;;Briggemandreef;60;;3235 DZ;Rockanje;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Catharina Stichting;24319534;stichting;Slagveld;37;;3230 AD;Brielle;Nederland;;De Duinpan;;;Briggemandreef;62;;3235 DZ;Rockanje;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Catharina Stichting;24319534;stichting;Slagveld;37;;3230 AD;Brielle;Nederland;;De Duinpan;;;Briggemandreef;64;;3235 DZ;Rockanje;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Catharina Stichting;24319534;stichting;Slagveld;37;;3230 AD;Brielle;Nederland;;De Duinpan;;;Briggemandreef;66;;3235 DZ;Rockanje;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Catharina Stichting;24319534;stichting;Slagveld;37;;3230 AD;Brielle;Nederland;;De Duinpan;;;Briggemandreef;68;;3235 DZ;Rockanje;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Catharina Stichting;24319534;stichting;Slagveld;37;;3230 AD;Brielle;Nederland;;De Duinpan;;;Briggemandreef;70;;3235 DZ;Rockanje;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Catharina Stichting;24319534;stichting;Slagveld;37;;3230 AD;Brielle;Nederland;;De Duinpan;;;Briggemandreef;72;;3235 DZ;Rockanje;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Catharina Stichting;24319534;stichting;Slagveld;37;;3230 AD;Brielle;Nederland;;De Duinpan;;;Briggemandreef;74;;3235 DZ;Rockanje;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Catharina Stichting;24319534;stichting;Slagveld;37;;3230 AD;Brielle;Nederland;;De Duinpan;;;Briggemandreef;76;;3235 DZ;Rockanje;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Catharina Stichting;24319534;stichting;Slagveld;37;;3230 AD;Brielle;Nederland;;De Duinpan;;;Briggemandreef;78;;3235 DZ;Rockanje;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
