"naam";"kvk";"rechtsvorm";"straat";"huisnummer";"huisletter";"huisnummerToevoeging";"postcode";"woonplaatsnaam";"landnaam";"zaanvadresinfo";"locatienaam";"lomschrijving";"vestigingsnummer";"lstraat";"lhuisnummer";"lhuisletter";"lhuisnummerToevoeging";"lpostcode";"lwoonplaatsnaam";"llandnaam";"laanvadresinfo";"isaccommodatie";"iswzd";"iswvggz";"aantekeningingang";"aantekeningeinde";"zvbejegening";"zvverzorging";"zvverpleging";"zvbehandeling";"zvbegeleiding";"zvbescherming";"zvvochtvoedingmedicatie";"zvmedishcecontroles";"zvbeperkenbewegingsvrijheid";"zvinsluiten";"zvtoezicht";"zvonderzoekkledinglichaam";"zvonderzoekwoonruimte";;"zvbeperkeneigenleven";"zvbeperkenbezoek";"zvopnemen";"zvtijdelijkverblijf"
"Academisch Ziekenhuis Groningen";01169570;;"Hanzeplein ";"1";;;"9713 GZ";"Groningen";"Nederland";;"Academisch Ziekenhuis Groningen";;12915866;"Hanzeplein ";"1";;;"9713 GZ";"Groningen";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Academisch Ziekenhuis Maastricht";14124959;;"P. Debyelaan ";"25";;;"6229 HX";"Maastricht";"Nederland";;"Academisch Ziekenhuis Maastricht";;20636660;"P. Debyelaan ";"25";;;"6229 HX";"Maastricht";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Katholieke Universiteit";41055629;"Stichting";"Geert Grooteplein Noord ";"9";;;"6525 EZ";"Nijmegen";"Nederland";;"Academisch ziekenhuis Nijmegen St. Radboud";;21375631;"Geert Grooteplein Zuid ";"10";;;"6525 GA";"Nijmegen";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Universitaire en Algemene Kinder- en Jeugdpsychiatrie Noord-Nederland";41020275;"Stichting";"Gronigerstraat ";"352";;;"9402 LT";"Assen";"Nederland";;"locatie De Ruyterstee";;21301131;"Fazantenlaan ";"1";;;"9422 EZ";"Smilde";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Admiraal De Ruyter Ziekenhuis B.V.";22063723;"B.V.";"s-Gravenpolderseweg ";"114";;;"4462 RA";"Goes";"Nederland";;"Ziekenhuis Walcheren";;37098713;"Koudekerkseweg ";"88";;;"4382 EE";"Vlissingen";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Albert Schweitzer Ziekenhuis";23091362;"Stichting";"Albert Schweitzerplaats ";"25";;;"3318 AT";"Dordrecht";"Nederland";;"Albert Schweitzer ziekenhuis";;28119053;"Albert Schweitzerplaats ";"25";;;"3318 AT";"Dordrecht";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Altrecht";30161681;"Stichting";"Lange Nieuwstraat ";"119";;;"3512 PG";"Utrecht";"Nederland";;"locatie Meijboom";;30071771;"Distelvlinder ";"8";;;"3734 AA";"Den Dolder";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Altrecht";30161681;"Stichting";"Lange Nieuwstraat ";"119";;;"3512 PG";"Utrecht";"Nederland";;"locatie Reijnvaan";;30071046;"Distelvlinder ";"9";;;"3734 AA";"Den Dolder";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Altrecht";30161681;"Stichting";"Lange Nieuwstraat ";"119";;;"3512 PG";"Utrecht";"Nederland";;"locatie RPC Nieuwegein";;30067707;"Rembrandthage ";"77";;;"3734 PD";"Nieuwegein";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Altrecht";30161681;"Stichting";"Lange Nieuwstraat ";"119";;;"3512 PG";"Utrecht";"Nederland";;"locatie ABC";;30077230;"Lange Nieuwstraat ";"52";;;"3512 PK";"Utrecht";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Altrecht";30161681;"Stichting";"Lange Nieuwstraat ";"119";;;"3512 PG";"Utrecht";"Nederland";;"locatie ABC";;30077036;"Lange Nieuwstraat ";"52";"a";;"3512 PK";"Utrecht";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Altrecht";30161681;"Stichting";"Lange Nieuwstraat ";"119";;;"3512 PG";"Utrecht";"Nederland";;"locatie Willem Arntsz Huis";;30066794;"Lange Nieuwstraat ";"119";;;"3512 PG";"Utrecht";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Altrecht";30161681;"Stichting";"Lange Nieuwstraat ";"119";;;"3512 PG";"Utrecht";"Nederland";;"locatie  Dinsele";;30075572;"Wenshoek ";"2";;;"3705 WE";"Zeist";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Altrecht";30161681;"Stichting";"Lange Nieuwstraat ";"119";;;"3512 PG";"Utrecht";"Nederland";;"locatie Rintveld eetstoornissen";;30075653;"Wenshoek ";"4";;;"3705 WE";"Zeist";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Altrecht";30161681;"Stichting";"Lange Nieuwstraat ";"119";;;"3512 PG";"Utrecht";"Nederland";;"locatie Brinkveld";;30075394;"Gedachtengang ";"2";;;"3705 WH";"Zeist";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Altrecht";30161681;"Stichting";"Lange Nieuwstraat ";"119";;;"3512 PG";"Utrecht";"Nederland";;"locatie Den Eijk";;30076013;"Gedachtengang ";"6";;;"3705 WH";"Zeist";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Academisch Medisch Centrum";34362777;;"Meibergdreef ";"9";;;"1105 AZ";"Amsterdam";"Nederland";;"AMC";;;"Meibergdreef ";"5";;;"1105 AZ";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Academisch Medisch Centrum";34362777;;"Meibergdreef ";"9";;;"1105 AZ";"Amsterdam";"Nederland";;"AMC";;22829768;"Meibergdreef ";"9";;;"1105 AZ";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Amphia";02010025;"Stichting";"Molengracht ";"21";;;"4818 CK";"Breda";"Nederland";;"Amphia ziekenhuis, locatie Langendijk";;09115935;"Langendijk ";"75";;;"4819 EV";"Breda";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Antonius Ziekenhuis";41001007;"Stichting";"Bolswarderbaan ";"1";;;"8601 ZK";"Sneek";"Nederland";;"Antonius Ziekenhuis";;23058552;"Bolswarderbaan ";"1";;;"8601 ZK";"Sneek";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;" Mentrum ouderenkliniek";;21141908;"Laan van Helende Meesters ";"2";;;"1186 AM";"Amstelveen";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;" Inforsa, FPK en LIZ";;34241167;"Duivendrechtsekade ";"55";;;"1096 AH";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum Kliniek Reigersbos";;;"Ravenswaaipad ";"48";;;"1106 AV";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"afdeling ouderen";;;"Kastelenstraat ";"80";;;"1083 DE";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Inforsa KIB";;21141800;"Vlaardingenlaan ";"5";;;"1059 GL";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum Kliniek Jan Thoméepad";;25094440;"Jan Thoméepad ";"5";;;"1034 ZP";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum Kliniek Reigersbos";;;"Reigersbos ";"17";;;"1106 AP";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum Kliniek Reigersbos";;34241485;"Ravenswaaipad ";"60";"a";;"1106 AV";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum Kliniek Reigersbos";;;"Ruisveenpad ";"76";;;"1106 AX";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum Kliniek Sporenburg";;21141789;"Baron G.A. van Tindalstraat  ";"27";;;"1019 TS";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum Kliniek Sporenburg";;;"Baron G.A. van Tindalstraat ";"192";;;"1019 TZ";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum Kliniek Sporenburg";;;"Baron G.A. van Tindalstraat ";"194";;;"1019 TZ";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum Kliniek Sporenburg";;;"Baron G.A. van Tindalstraat ";"196";;;"1019 TZ";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum Kliniek Sporenburg";;;"Baron G.A. van Tindalstraat ";"198";;;"1019 TZ";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum Kliniek Sporenburg";;;"Baron G.A. van Tindalstraat ";"218";;;"1019 TZ";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum Kliniek Sporenburg";;;"Baron G.A. van Tindalstraat ";"220";;;"1019 TZ";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum Kliniek Sporenburg";;;"Baron G.A. van Tindalstraat ";"222";;;"1019 TZ";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum Kliniek Sporenburg";;;"Baron G.A. van Tindalstraat ";"224";;;"1019 TZ";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum Kliniek, Spoedeisende Psychiatrie Amsterdam";;21141924;"Eerste Constantijn Huygensstraat ";"38";;;"1054 BR";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum, Jean Desmetstraat";;;"Jean Desmetstraat ";"82";;;"1087 DR";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum, Jean Desmetstraat";;;"Jean Desmetstraat ";"84";;;"1087 DR";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum, Jean Desmetstraat";;;"Jean Desmetstraat ";"86";;;"1087 DR";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum, Jean Desmetstraat";;;"Jean Desmetstraat ";"88";;;"1087 DR";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum, Jean Desmetstraat";;;"Jean Desmetstraat ";"90";;;"1087 DR";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum, Jean Desmetstraat";;;"Jean Desmetstraat ";"92";;;"1087 DR";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum, Jean Desmetstraat";;;"Jean Desmetstraat ";"94";;;"1087 DR";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum, Jean Desmetstraat";;;"Jean Desmetstraat ";"96";;;"1087 DR";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum, Jean Desmetstraat";;;"Jean Desmetstraat ";"98";;;"1087 DR";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum, Jean Desmetstraat";;;"Jean Desmetstraat ";"100";;;"1087 DR";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum, Jean Desmetstraat";;;"Jean Desmetstraat ";"102";;;"1087 DR";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum, Jean Desmetstraat";;;"Jean Desmetstraat ";"104";;;"1087 DR";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum, Jean Desmetstraat";;;"Jean Desmetstraat ";"106";;;"1087 DR";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum, Jean Desmetstraat";;21141916;"Jean Desmetstraat ";"108";;;"1087 DR";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum, Jean Desmetstraat";;;"Jean Desmetstraat ";"110";;;"1087 DR";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum, Jean Desmetstraat";;;"Jean Desmetstraat ";"112";;;"1087 DR";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum, Jean Desmetstraat";;;"Jean Desmetstraat ";"114";;;"1087 DR";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum, Jean Desmetstraat";;;"Jean Desmetstraat ";"116";;;"1087 DR";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum, Jean Desmetstraat";;;"Jean Desmetstraat ";"118";;;"1087 DR";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum, Jean Desmetstraat";;;"Jean Desmetstraat ";"120";;;"1087 DR";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum, Jean Desmetstraat";;;"Jean Desmetstraat ";"122";;;"1087 DR";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum, Jean Desmetstraat";;;"Jean Desmetstraat ";"124";;;"1087 DR";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum, Jean Desmetstraat";;;"Jean Desmetstraat ";"126";;;"1087 DR";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum, Jean Desmetstraat";;;"Jean Desmetstraat ";"128";;;"1087 DR";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum, Jean Desmetstraat";;;"Jean Desmetstraat ";"130";;;"1087 DR";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum, Jean Desmetstraat";;;"Jean Desmetstraat ";"132";;;"1087 DR";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum, Jean Desmetstraat";;;"Jean Desmetstraat ";"134";;;"1087 DR";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum, Jean Desmetstraat";;;"Jean Desmetstraat ";"136";;;"1087 DR";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum, kliniek Eerste Constantijn Huygensstraat";;21141924;"Eerste Constantijn Huygensstraat ";"38";;;"1054 BR";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum Kliniek Verslaving en Psychiatrie";;;"Vlaardingenlaan ";"5";;;"1059 GL";"Amsterdam";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Mentrum Kliniek Verslaving en Psychiatrie";;21141800;"Spaarnepoort ";"1";;;"2134 TM";"Hoofddorp";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Arkin";34310392;"Stichting";"Klaprozenweg ";"111";;;"1030 NN";"Amsterdam";"Nederland";;"Victas";;35163313;"ABC-straat ";"5";;;"3512 PX";"Utrecht";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Nijmeegs Interconfessioneel ziekenhuis Canisius-Wilhelmina";41055664;"Stichting";"Weg door Jonkerbos ";"100";;;"6532 SZ";"Nijmegen";"Nederland";;"Stichting Nijmeegs Interconfessioneel ziekenhuis Canisius-Wilhelmina, locatie Weg door Jonkerbos 100";;22386866;"Weg door Jonkerbos ";"100";;;"6532 SZ";"Nijmegen";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Catharina Ziekenhuis";41087385;"Stichting";"Michelangelolaan ";"2";;;"5623 EJ";"Eindhoven";"Nederland";;"Stichting Catharina Ziekenhuis, locatie Michelangelolaan 2";;27937755;"Michelangelolaan ";"2";;;"5623 EJ";"Eindhoven";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Centrum '45";41165544;"Stichting";"Rijnzichtweg ";"35";;;"2342 AX";"Oegstgeest";"Nederland";;"Stichting Centrum '45, locatie Rijnzichtweg 35";;22020810;"Rijnzichtweg ";"35";;;"2342 AX";"Oegstgeest";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Ziekenhuis ""Nij Smellinghe""";41000763;"Stichting";"Compagnonsplein ";"1";;;"9202 NN";"Drachten";"Nederland";;"Stichting Ziekenhuis ""Nij Smellinghe"", locatie Compagnonsplein 1";;22890114;"Compagnonsplein ";"1";;;"9202 NN";"Drachten";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Curium, Academisch Centrum Kinder- en Jeugdpsychiatrie";41166027;"Stichting";"Endegeesterstraatweg ";"27";;;"2342 AK";"Oegstgeest";"Nederland";;"Stichting Curium, Academisch Centrum Kinder- en Jeugdpsychiatrie, locatie Endegeesterstraatweg 27A";;21975566;"Endegeesterstraatweg ";"27";"A";;"2342 AK";"Oegstgeest";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
